name_major,total:,25_to_39_years:,science_and_engineering,computers_mathematics_and_statistics,biological_agricultural_and_environmental_sciences,physical_and_related_sciences,psychology,social_sciences,engineering,multidisciplinary_studies,science_and_engineering_related_fields,business,education,arts_humanities_and_other,literature_and_languages,liberal_arts_and_history,visual_and_performing_arts,communications,other,40_to_64_years:,science_and_engineering,computers_mathematics_and_statistics,biological_agricultural_and_environmental_sciences,physical_and_related_sciences,psychology,social_sciences,engineering,multidisciplinary_studies,science_and_engineering_related_fields,business,education,arts_humanities_and_other,literature_and_languages,liberal_arts_and_history,visual_and_performing_arts,communications,other
maine_estimate,"62,421","56,454",,"64,153","51,597","87,790","50,610","56,799","93,338","43,917","62,387","67,591","47,760",,"46,879","53,243","38,954","58,400","62,869","66,227",,"85,748","65,631","75,067","61,999","55,675","101,855","49,274","71,877","79,065","58,562",,"63,961","70,960","58,977","57,481","59,031"
maine_margin_of_error,"±1,260","±2,138",,"±27,139","±8,787","±34,430","±5,464","±4,073","±7,160","±14,591","±6,077","±4,788","±5,652",,"±6,750","±10,456","±8,118","±15,772","±11,130","±2,883",,"±14,087","±14,903","±12,268","±6,086","±9,079","±8,869","±47,891","±5,944","±7,480","±4,970",,"±9,424","±11,066","±10,588","±9,706","±7,894"
maryland_estimate,"87,689","72,181",,"85,129","67,249","72,592","60,405","80,178","96,416","65,970","73,074","78,674","60,542",,"59,133","62,189","51,297","61,665","66,214","101,819",,"124,967","110,220","125,969","87,979","110,097","135,478","87,806","93,296","102,040","77,593",,"95,516","88,827","69,735","87,557","96,267"
maryland_margin_of_error,"±1,571","±1,224",,"±5,714","±3,655","±7,180","±4,739","±4,144","±4,393","±11,350","±2,732","±4,334","±1,825",,"±10,670","±2,790","±3,634","±4,319","±3,861",±990,,"±5,203","±10,201","±7,083","±8,901","±5,702","±6,368","±15,031","±3,677","±3,040","±3,532",,"±6,496","±10,047","±10,570","±8,433","±6,249"
massachusetts_estimate,"87,001","75,800",,"100,156","76,357","69,627","64,147","81,430","98,299","77,851","75,402","84,761","60,697",,"64,663","64,560","52,646","74,744","63,067","100,205",,"128,788","107,201","122,084","84,328","104,545","143,339","84,727","101,842","101,437","80,430",,"87,017","84,854","73,216","87,497","89,582"
massachusetts_margin_of_error,±747,±901,,"±8,413","±2,180","±9,616","±3,538","±3,144","±3,915","±21,451","±2,161","±3,089","±3,047",,"±5,579","±5,063","±2,967","±3,212","±2,349","±1,230",,"±6,162","±13,577","±7,524","±4,001","±3,489","±5,963","±13,631","±2,884","±2,948","±2,537",,"±4,314","±6,342","±4,164","±4,947","±6,476"
michigan_estimate,"71,444","61,430",,"77,405","60,900","61,545","50,123","61,711","90,211","55,332","65,596","64,319","49,551",,"51,872","50,546","44,026","55,886","55,083","81,256",,"97,391","89,329","85,703","68,627","86,156","127,751","74,090","81,274","84,552","65,427",,"59,509","63,296","60,078","74,638","65,294"
michigan_margin_of_error,±641,±641,,"±7,417","±2,132","±5,219","±3,769","±4,152","±4,213","±10,301","±2,146","±1,832","±1,605",,"±5,013","±1,968","±3,899","±4,508","±2,858",±713,,"±4,743","±4,685","±8,509","±5,235","±6,927","±3,115","±14,250","±2,193","±2,158","±1,909",,"±6,902","±2,231","±4,728","±6,561","±3,780"
minnesota_estimate,"75,342","65,715",,"79,535","65,498","69,498","58,206","67,990","90,099","55,623","69,402","74,693","51,250",,"54,930","53,142","50,376","61,440","59,109","85,324",,"119,753","89,263","123,242","86,142","87,015","123,654","80,229","83,278","97,716","66,150",,"69,758","71,560","61,980","80,154","70,995"
minnesota_margin_of_error,±771,"±1,273",,"±8,849","±2,064","±7,365","±4,243","±4,168","±3,576","±11,215","±2,417","±2,013","±1,343",,"±3,399","±4,431","±3,379","±4,577","±2,812","±1,023",,"±6,943","±6,350","±23,666","±3,986","±5,079","±5,957","±16,362","±1,913","±4,867","±2,744",,"±4,736","±3,834","±3,368","±6,578","±3,952"
