,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
292,Kansas,total,Bachelors_degree,58583,1296,KS,66.3225806451613,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,6435.333333333333,25741.333333333332,279.36110964066984,33523.333156880384,22.0,-1263766.3331568805,25059.666843119616,1020970.6668431197
293,Kansas,total,Graduate_or_professional_degree,70216,2564,KS,66.3225806451613,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,0.0,0.0,0.0,0.0,26.0,-1755400.0,70216.0,983024.0
306,Kentucky,total,Total,43032,581,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,0.0,0.0,0.0,0.0,,,43032.0,
307,Kentucky,total,Less_than_high_school_graduate,27314,1182,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,0.0,0.0,0.0,0.0,16.0,-409710.0,27314.0,655536.0
308,Kentucky,total,High_school_graduate_includes_equivalency,35301,680,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,0.0,0.0,0.0,0.0,18.0,-600117.0,35301.0,776622.0
309,Kentucky,total,Some_college_or_associates_degree,40667,587,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,5273.761904761905,10547.52380952381,114.46835007471601,13736.202008965922,20.0,-786409.2020089659,26930.79799103408,799603.7979910341
310,Kentucky,total,Bachelors_degree,55682,1551,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,6866.8125,27467.25,298.091840830999,35771.02089971988,22.0,-1205093.0208997198,19910.97910028012,966504.9791002801
311,Kentucky,total,Graduate_or_professional_degree,67351,2115,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,0.0,0.0,0.0,0.0,26.0,-1683775.0,67351.0,942914.0
324,Louisiana,total,Total,43207,748,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,0.0,0.0,0.0,0.0,,,43207.0,
325,Louisiana,total,Less_than_high_school_graduate,25977,890,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,0.0,0.0,0.0,0.0,16.0,-389655.0,25977.0,623448.0
326,Louisiana,total,High_school_graduate_includes_equivalency,33568,1577,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,0.0,0.0,0.0,0.0,18.0,-570656.0,33568.0,738496.0
327,Louisiana,total,Some_college_or_associates_degree,40916,730,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,6503.851851851852,13007.703703703704,141.16776677757113,16940.132013308536,20.0,-794344.1320133086,23975.867986691464,801379.8679866914
328,Louisiana,total,Bachelors_degree,55685,1818,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,6089.384615384615,24357.53846153846,264.3432989510002,31721.19587412002,22.0,-1201106.19587412,23963.80412587998,970608.80412588
329,Louisiana,total,Graduate_or_professional_degree,65857,2150,LA,52.925925925925924,6089.384615384615,56.82142857142857,6503.851851851852,66.08333333333333,6502.738095238095,0.0,0.0,0.0,0.0,26.0,-1646425.0,65857.0,921998.0
342,Maine,total,Total,45966,802,ME,57.73684210526316,7844.0526315789475,32.44444444444444,5897.888888888889,59.5,5769.75,0.0,0.0,0.0,0.0,,,45966.0,
343,Maine,total,Less_than_high_school_graduate,31011,1816,ME,57.73684210526316,7844.0526315789475,32.44444444444444,5897.888888888889,59.5,5769.75,0.0,0.0,0.0,0.0,16.0,-465165.0,31011.0,744264.0
344,Maine,total,High_school_graduate_includes_equivalency,36375,1080,ME,57.73684210526316,7844.0526315789475,32.44444444444444,5897.888888888889,59.5,5769.75,0.0,0.0,0.0,0.0,18.0,-618375.0,36375.0,800250.0
345,Maine,total,Some_college_or_associates_degree,43898,1709,ME,57.73684210526316,7844.0526315789475,32.44444444444444,5897.888888888889,59.5,5769.75,5897.888888888889,11795.777777777777,128.01518578711622,15361.822294453947,20.0,-849423.822294454,28536.177705546055,862598.177705546
