,state,education,degree,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39,age_range,sex
10,Arkansas,High_school_graduate_includes_equivalency,,34517.0,1008.0,AR,55.28,6423.125,18.72,4533.4,0.0,0.0,0.0,0.0,18.0,-586789.0,34517.0,759374.0,,total
11,Arkansas,Some_college_or_associates_degree,,38814.0,996.0,AR,55.28,6423.125,18.72,4533.4,4533.4,9066.8,98.39860570120786,11807.832684144943,20.0,-749273.832684145,27006.167315855055,764472.167315855,,total
204,Arkansas,Bachelors_degree,Combined_25_to_39_years,52604.0,1616.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1138143.7367579956,19144.26324200446,913412.2632420044,25_to_39_years,
206,Arkansas,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,57000.0,5330.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1230459.7367579956,23540.26324200446,992540.2632420044,25_to_39_years,
213,Arkansas,Bachelors_degree,Business,59681.0,3489.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1286760.7367579956,26221.26324200446,1040798.2632420044,25_to_39_years,
218,Arkansas,Bachelors_degree,Communications,45923.0,2843.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-997842.7367579956,12463.263242004461,793154.2632420044,25_to_39_years,
205,Arkansas,Bachelors_degree,Computers_Mathematics_and_Statistics,93027.0,29551.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1987026.7367579956,59567.26324200446,1641026.2632420044,25_to_39_years,
214,Arkansas,Bachelors_degree,Education,46818.0,2582.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1016637.7367579956,13358.263242004461,809264.2632420044,25_to_39_years,
210,Arkansas,Bachelors_degree,Engineering,72789.0,17201.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1562028.7367579956,39329.26324200446,1276742.2632420044,25_to_39_years,
216,Arkansas,Bachelors_degree,Liberal_Arts_and_History,42657.0,6293.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-929256.7367579956,9197.263242004461,734366.2632420044,25_to_39_years,
215,Arkansas,Bachelors_degree,Literature_and_Languages,50121.0,11570.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1086000.7367579956,16661.26324200446,868718.2632420044,25_to_39_years,
211,Arkansas,Bachelors_degree,Multidisciplinary_Studies,50461.0,14143.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1093140.7367579956,17001.26324200446,874838.2632420044,25_to_39_years,
219,Arkansas,Bachelors_degree,Other,45047.0,2636.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-979446.7367579956,11587.263242004461,777386.2632420044,25_to_39_years,
207,Arkansas,Bachelors_degree,Physical_and_Related_Sciences,61495.0,15767.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1324854.7367579956,28035.26324200446,1073450.2632420044,25_to_39_years,
208,Arkansas,Bachelors_degree,Psychology,42749.0,8863.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-931188.7367579956,9289.263242004461,736022.2632420044,25_to_39_years,
212,Arkansas,Bachelors_degree,Science_and_Engineering_Related_Fields,61354.0,2049.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1321893.7367579956,27894.26324200446,1070912.2632420044,25_to_39_years,
209,Arkansas,Bachelors_degree,Social_Sciences,49192.0,4181.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-1066491.7367579956,15732.263242004461,851996.2632420044,25_to_39_years,
217,Arkansas,Bachelors_degree,Visual_and_Performing_Arts,43675.0,6740.0,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.83113964996284,33459.73675799554,22.0,-950634.7367579956,10215.263242004461,752690.2632420044,25_to_39_years,
12,California,Less_than_high_school_graduate,,30843.0,186.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,0.0,0.0,0.0,0.0,16.0,-462645.0,30843.0,740232.0,,total
13,California,High_school_graduate_includes_equivalency,,38507.0,460.0,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,0.0,0.0,0.0,0.0,18.0,-654619.0,38507.0,847154.0,,total
