,degree_age_range,state,degree,age_range,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,education,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
1530,25_to_39_years_Literature_and_Languages,Virginia,Literature_and_Languages,25_to_39_years,58213.0,5776.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1264335.2753028078,16350.724697192272,1005971.7246971923
1531,25_to_39_years_Liberal_Arts_and_History,Virginia,Liberal_Arts_and_History,25_to_39_years,61513.0,3849.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1333635.2753028078,19650.724697192272,1065371.7246971922
1532,25_to_39_years_Visual_and_Performing_Arts,Virginia,Visual_and_Performing_Arts,25_to_39_years,52254.0,2909.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1139196.2753028078,10391.724697192272,898709.7246971923
1533,25_to_39_years_Communications,Virginia,Communications,25_to_39_years,61260.0,3535.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1328322.2753028078,19397.724697192272,1060817.7246971922
1534,25_to_39_years_Other,Virginia,Other,25_to_39_years,64290.0,3642.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1391952.2753028078,22427.724697192272,1115357.7246971922
1552,25_to_39_years_25_to_39_years,Washington,Combined_25_to_39_years,25_to_39_years,79114.0,1414.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1693060.1168191459,47447.88318085417,1392385.8831808541
1553,25_to_39_years_Computers_Mathematics_and_Statistics,Washington,Computers_Mathematics_and_Statistics,25_to_39_years,135351.0,8858.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-2874037.1168191456,103684.88318085417,2404651.8831808544
1554,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Washington,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,69734.0,3796.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1496080.1168191459,38067.88318085417,1223545.8831808541
1555,25_to_39_years_Physical_and_Related_Sciences,Washington,Physical_and_Related_Sciences,25_to_39_years,85392.0,7054.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1824898.1168191459,53725.88318085417,1505389.8831808541
1556,25_to_39_years_Psychology,Washington,Psychology,25_to_39_years,60544.0,5540.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1303090.1168191459,28877.883180854176,1058125.8831808541
1557,25_to_39_years_Social_Sciences,Washington,Social_Sciences,25_to_39_years,81707.0,3879.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1747513.1168191459,50040.88318085417,1439059.8831808541
1558,25_to_39_years_Engineering,Washington,Engineering,25_to_39_years,121316.0,4545.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-2579302.1168191456,89649.88318085417,2152021.8831808544
1559,25_to_39_years_Multidisciplinary_Studies,Washington,Multidisciplinary_Studies,25_to_39_years,61167.0,10248.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1316173.1168191459,29500.883180854176,1069339.8831808541
1560,25_to_39_years_Science_and_Engineering_Related_Fields,Washington,Science_and_Engineering_Related_Fields,25_to_39_years,73866.0,3619.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1582852.1168191459,42199.88318085417,1297921.8831808541
1561,25_to_39_years_Business,Washington,Business,25_to_39_years,82186.0,3173.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1757572.1168191459,50519.88318085417,1447681.8831808541
1562,25_to_39_years_Education,Washington,Education,25_to_39_years,59548.0,4059.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1282174.1168191459,27881.883180854176,1040197.8831808541
1563,25_to_39_years_Literature_and_Languages,Washington,Literature_and_Languages,25_to_39_years,62395.0,3434.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1341961.1168191459,30728.883180854176,1091443.8831808541
1564,25_to_39_years_Liberal_Arts_and_History,Washington,Liberal_Arts_and_History,25_to_39_years,62023.0,5493.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1334149.1168191459,30356.883180854176,1084747.8831808541
1565,25_to_39_years_Visual_and_Performing_Arts,Washington,Visual_and_Performing_Arts,25_to_39_years,49924.0,4729.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1080070.1168191459,18257.883180854176,866965.8831808541
1566,25_to_39_years_Communications,Washington,Communications,25_to_39_years,69243.0,5468.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1485769.1168191459,37576.88318085417,1214707.8831808541
1567,25_to_39_years_Other,Washington,Other,25_to_39_years,62950.0,3533.0,WA,26.545454545454547,6078.811320754717,42.15384615384615,6383.916666666667,63.75,7126.368421052632,Bachelors_degree,6078.811320754717,24315.245283018867,263.8843068262152,31666.116819145824,22,-1353616.1168191459,31283.883180854176,1101433.8831808541
1585,25_to_39_years_25_to_39_years,West_Virginia,Combined_25_to_39_years,25_to_39_years,49987.0,2422.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1086638.240442777,13075.759557222897,862854.759557223
1586,25_to_39_years_Computers_Mathematics_and_Statistics,West_Virginia,Computers_Mathematics_and_Statistics,25_to_39_years,69118.0,25216.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1488389.240442777,32206.759557222897,1207212.759557223
1587,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,West_Virginia,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,51116.0,4527.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1110347.240442777,14204.759557222897,883176.759557223
1588,25_to_39_years_Physical_and_Related_Sciences,West_Virginia,Physical_and_Related_Sciences,25_to_39_years,50096.0,19681.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1088927.240442777,13184.759557222897,864816.759557223
1589,25_to_39_years_Psychology,West_Virginia,Psychology,25_to_39_years,41476.0,8007.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-907907.240442777,4564.759557222897,709656.759557223
1590,25_to_39_years_Social_Sciences,West_Virginia,Social_Sciences,25_to_39_years,54633.0,19780.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1184204.240442777,17721.759557222897,946482.759557223
1591,25_to_39_years_Engineering,West_Virginia,Engineering,25_to_39_years,85176.0,19327.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1825607.240442777,48264.7595572229,1496256.759557223
1592,25_to_39_years_Multidisciplinary_Studies,West_Virginia,Multidisciplinary_Studies,25_to_39_years,45227.0,25815.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-986678.240442777,8315.759557222897,777174.759557223
1593,25_to_39_years_Science_and_Engineering_Related_Fields,West_Virginia,Science_and_Engineering_Related_Fields,25_to_39_years,53949.0,8006.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1169840.240442777,17037.759557222897,934170.759557223
1594,25_to_39_years_Business,West_Virginia,Business,25_to_39_years,55497.0,11606.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1202348.240442777,18585.759557222897,962034.759557223
1595,25_to_39_years_Education,West_Virginia,Education,25_to_39_years,43243.0,2761.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-945014.240442777,6331.759557222897,741462.759557223
1596,25_to_39_years_Literature_and_Languages,West_Virginia,Literature_and_Languages,25_to_39_years,36659.0,8203.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-806750.240442777,-252.24044277710345,622950.759557223
1597,25_to_39_years_Liberal_Arts_and_History,West_Virginia,Liberal_Arts_and_History,25_to_39_years,56206.0,15891.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1217237.240442777,19294.759557222897,974796.759557223
1598,25_to_39_years_Visual_and_Performing_Arts,West_Virginia,Visual_and_Performing_Arts,25_to_39_years,49295.0,17203.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1072106.240442777,12383.759557222897,850398.759557223
1599,25_to_39_years_Communications,West_Virginia,Communications,25_to_39_years,47083.0,9630.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-1025654.240442777,10171.759557222897,810582.759557223
1600,25_to_39_years_Other,West_Virginia,Other,25_to_39_years,41460.0,2707.0,WV,59.958333333333336,7085.695652173913,36.82608695652174,4613.166666666667,18.210526315789473,9916.0,Bachelors_degree,7085.695652173913,28342.782608695652,307.59367035647585,36911.2404427771,22,-907571.240442777,4548.759557222897,709368.759557223
1618,25_to_39_years_25_to_39_years,Wisconsin,Combined_25_to_39_years,25_to_39_years,60537.0,904.0,WI,60.372093023255815,7410.243902439024,45.0,5245.714285714285,77.11764705882354,7737.35294117647,Bachelors_degree,7410.243902439024,29640.975609756097,321.68247580441937,38601.89709653032,22,-1309878.8970965303,21935.102903469677,1051064.1029034697
