State,Education,Major
Georgia,Bachelors_degree,Liberal_Arts_and_History
Georgia,Bachelors_degree,Literature_and_Languages
Georgia,Bachelors_degree,Multidisciplinary_Studies
Georgia,Bachelors_degree,Other
Georgia,Bachelors_degree,Physical_and_Related_Sciences
Georgia,Bachelors_degree,Psychology
Georgia,Bachelors_degree,Science_and_Engineering_Related_Fields
Georgia,Bachelors_degree,Social_Sciences
Georgia,Bachelors_degree,Visual_and_Performing_Arts
Hawaii,Less_than_high_school_graduate,
Hawaii,High_school_graduate_includes_equivalency,
Hawaii,Some_college_or_associates_degree,
Hawaii,Bachelors_degree,Combined_25_to_39_years
Hawaii,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Hawaii,Bachelors_degree,Business
Hawaii,Bachelors_degree,Communications
Hawaii,Bachelors_degree,Computers_Mathematics_and_Statistics
Hawaii,Bachelors_degree,Education
Hawaii,Bachelors_degree,Engineering
Hawaii,Bachelors_degree,Liberal_Arts_and_History
Hawaii,Bachelors_degree,Literature_and_Languages
Hawaii,Bachelors_degree,Multidisciplinary_Studies
Hawaii,Bachelors_degree,Other
Hawaii,Bachelors_degree,Physical_and_Related_Sciences
Hawaii,Bachelors_degree,Psychology
Hawaii,Bachelors_degree,Science_and_Engineering_Related_Fields
Hawaii,Bachelors_degree,Social_Sciences
Hawaii,Bachelors_degree,Visual_and_Performing_Arts
Hawaii,Less_than_high_school_graduate,
Hawaii,High_school_graduate_includes_equivalency,
Hawaii,Some_college_or_associates_degree,
Hawaii,Bachelors_degree,Combined_25_to_39_years
Hawaii,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Hawaii,Bachelors_degree,Business
Hawaii,Bachelors_degree,Communications
Hawaii,Bachelors_degree,Computers_Mathematics_and_Statistics
Hawaii,Bachelors_degree,Education
Hawaii,Bachelors_degree,Engineering
Hawaii,Bachelors_degree,Liberal_Arts_and_History
Hawaii,Bachelors_degree,Literature_and_Languages
Hawaii,Bachelors_degree,Multidisciplinary_Studies
Hawaii,Bachelors_degree,Other
Hawaii,Bachelors_degree,Physical_and_Related_Sciences
Hawaii,Bachelors_degree,Psychology
Hawaii,Bachelors_degree,Science_and_Engineering_Related_Fields
Hawaii,Bachelors_degree,Social_Sciences
Hawaii,Bachelors_degree,Visual_and_Performing_Arts
Idaho,Less_than_high_school_graduate,
Idaho,High_school_graduate_includes_equivalency,
Idaho,Some_college_or_associates_degree,
Idaho,Bachelors_degree,Combined_25_to_39_years
Idaho,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Idaho,Bachelors_degree,Business
