"GEO_ID","NAME","B20004_001E","B20004_001EA","B20004_001M","B20004_001MA","B20004_002E","B20004_002EA","B20004_002M","B20004_002MA","B20004_003E","B20004_003EA","B20004_003M","B20004_003MA","B20004_004E","B20004_004M","B20004_004MA","B20004_004EA","B20004_005E","B20004_005EA","B20004_005M","B20004_005MA","B20004_006E","B20004_006EA","B20004_006M","B20004_006MA","B20004_007E","B20004_007EA","B20004_007M","B20004_007MA","B20004_008E","B20004_008EA","B20004_008M","B20004_008MA","B20004_009E","B20004_009EA","B20004_009M","B20004_009MA","B20004_010E","B20004_010EA","B20004_010M","B20004_010MA","B20004_011E","B20004_011EA","B20004_011M","B20004_011MA","B20004_012E","B20004_012EA","B20004_012M","B20004_012MA","B20004_013E","B20004_013EA","B20004_013M","B20004_013MA","B20004_014E","B20004_014EA","B20004_014M","B20004_014MA","B20004_015E","B20004_015EA","B20004_015M","B20004_015MA","B20004_016E","B20004_016EA","B20004_016M","B20004_016MA","B20004_017E","B20004_017EA","B20004_017M","B20004_017MA","B20004_018E","B20004_018EA","B20004_018M","B20004_018MA",
"0400000US39","Ohio","47521","null","357","null","30152","null","910","null","36919","null","427","null","42690","433","null","null","62605","null","681","null","77691","null","1125","null","54436","null","382","null","34751","null","1787","null","43823","null","727","null","52191","null","518","null","75136","null","1290","null","94557","null","1937","null","40334","null","243","null","21565","null","1080","null","29197","null","718","null","35817","null","484","null","53252","null","828","null","69993","null","1023","null",
"0400000US40","Oklahoma","42362","null","311","null","30354","null","983","null","35332","null","406","null","40237","525","null","null","53732","null","1026","null","70191","null","1657","null","50265","null","506","null","35928","null","1021","null","41067","null","648","null","49087","null","1316","null","66236","null","2327","null","84717","null","3359","null","36569","null","443","null","21593","null","1194","null","27647","null","957","null","32874","null","876","null","46553","null","1153","null","60369","null","1473","null",
"0400000US41","Oregon","48807","null","906","null","30994","null","1258","null","37284","null","835","null","42769","887","null","null","62676","null","1256","null","81633","null","1759","null","54766","null","911","null","36201","null","1641","null","42047","null","728","null","51886","null","1204","null","74464","null","2301","null","94249","null","3774","null","41808","null","585","null","25018","null","1301","null","30963","null","979","null","36552","null","868","null","53656","null","1616","null","73646","null","1890","null",
"0400000US42","Pennsylvania","50871","null","266","null","32177","null","897","null","38087","null","545","null","44804","671","null","null","64722","null","790","null","80977","null","1013","null","57729","null","740","null","39267","null","1690","null","45060","null","610","null","53436","null","803","null","77353","null","1635","null","98386","null","3338","null","42397","null","326","null","23562","null","2084","null","30480","null","374","null","37537","null","641","null","54430","null","804","null","71618","null","970","null",
"0400000US44","Rhode Island","54012","null","1173","null","35287","null","2762","null","41160","null","1296","null","48802","2513","null","null","67148","null","2815","null","85586","null","4353","null","61128","null","1876","null","42946","null","7612","null","48077","null","3418","null","55854","null","2583","null","80898","null","4431","null","100702","null","7878","null","47240","null","2122","null","22467","null","3518","null","32801","null","2400","null","41502","null","2362","null","60614","null","2721","null","76489","null","5175","null",
"0400000US45","South Carolina","43331","null","592","null","27141","null","1330","null","34785","null","966","null","40386","665","null","null","57407","null","1493","null","67170","null","1980","null","51631","null","618","null","31919","null","967","null","41372","null","906","null","50113","null","1049","null","70820","null","2290","null","93583","null","4170","null","37006","null","556","null","19045","null","2025","null","27278","null","714","null","33394","null","1149","null","47076","null","1437","null","55888","null","1964","null",
"0400000US46","South Dakota","45902","null","667","null","30523","null","2259","null","38669","null","1771","null","45237","1326","null","null","52325","null","1924","null","67981","null","3888","null","51980","null","850","null","32728","null","4816","null","42193","null","1174","null","52366","null","1456","null","62017","null","1755","null","78289","null","7666","null","40443","null","637","null","22462","null","7834","null","31409","null","1540","null","36809","null","1045","null","47123","null","1860","null","62107","null","3281","null",
"0400000US47","Tennessee","45072","null","401","null","30183","null","1146","null","36093","null","577","null","41663","479","null","null","57539","null","1113","null","72837","null","1803","null","52035","null","478","null","32391","null","1321","null","41768","null","621","null","50507","null","900","null","72069","null","2026","null","90027","null","4534","null","39185","null","688","null","24280","null","2206","null","29504","null","951","null","35423","null","697","null","47882","null","1055","null","62159","null","1314","null",
"0400000US48","Texas","48430","null","370","null","29317","null","601","null","36217","null","369","null","43687","586","null","null","64905","null","584","null","82824","null","1260","null","55057","null","447","null","33918","null","929","null","43439","null","696","null","53009","null","690","null","80807","null","892","null","104215","null","1382","null","40346","null","244","null","21027","null","335","null","27724","null","573","null","36414","null","525","null","56594","null","584","null","69050","null","1161","null",
"0400000US49","Utah","51104","null","514","null","37472","null","1649","null","40700","null","642","null","43406","1496","null","null","60973","null","1200","null","90548","null","2583","null","63245","null","870","null","44160","null","2998","null","48961","null","2480","null","56715","null","1928","null","78700","null","2646","null","111257","null","4668","null","38217","null","892","null","28237","null","2073","null","31762","null","785","null","34715","null","1817","null","46836","null","1811","null","65531","null","2713","null",
"0400000US50","Vermont","50561","null","972","null","34612","null","3841","null","41388","null","1466","null","44003","3213","null","null","54163","null","2295","null","68409","null","2487","null","53541","null","1340","null","38084","null","3515","null","46350","null","1883","null","53267","null","3179","null","55105","null","5011","null","81508","null","5281","null","46082","null","1512","null","29123","null","3797","null","33734","null","2245","null","38509","null","2051","null","53601","null","2353","null","62549","null","2607","null",
"0400000US51","Virginia","55607","null","529","null","30436","null","890","null","39730","null","835","null","45135","748","null","null","73893","null","1062","null","96914","null","1436","null","64525","null","711","null","36498","null","1255","null","46450","null","1338","null","54515","null","1048","null","88211","null","2101","null","120363","null","2849","null","47280","null","623","null","21407","null","926","null","30867","null","480","null","38271","null","1185","null","60677","null","1243","null","79392","null","2056","null",
"0400000US53","Washington","59430","null","775","null","36000","null","984","null","42288","null","749","null","51740","658","null","null","76376","null","1126","null","100613","null","1148","null","68109","null","1072","null","40821","null","1085","null","50374","null","738","null","61596","null","853","null","93135","null","2212","null","123731","null","3155","null","49352","null","1021","null","27512","null","1856","null","35322","null","949","null","42451","null","924","null","61852","null","975","null","83186","null","1782","null",
"0400000US54","West Virginia","42738","null","814","null","26692","null","2487","null","35052","null","1392","null","40791","1001","null","null","52887","null","1886","null","63974","null","3717","null","50775","null","1074","null","31728","null","3365","null","42328","null","1936","null","51797","null","2084","null","61978","null","3623","null","81142","null","6253","null","36638","null","923","null","22346","null","2415","null","26556","null","1169","null","33565","null","1669","null","46408","null","2131","null","56531","null","3996","null",
"0400000US55","Wisconsin","50039","null","335","null","35193","null","1456","null","40104","null","484","null","45726","600","null","null","61428","null","837","null","75811","null","1232","null","56462","null","617","null","39939","null","1783","null","46832","null","674","null","54296","null","758","null","74145","null","1645","null","93791","null","2873","null","41920","null","294","null","27810","null","2199","null","31059","null","429","null","37815","null","771","null","52799","null","869","null","66703","null","1770","null",
"0400000US56","Wyoming","48197","null","2185","null","28406","null","4964","null","37396","null","1855","null","44020","3108","null","null","54129","null","3784","null","68506","null","1926","null","56879","null","2488","null","35274","null","12078","null","47300","null","6041","null","55153","null","3391","null","68407","null","6090","null","80346","null","10578","null","38561","null","2080","null","25910","null","3619","null","27551","null","3030","null","36010","null","1999","null","47106","null","3590","null","61778","null","3338","null",
"0400000US72","Puerto Rico","21254","null","372","null","12646","null","971","null","16083","null","319","null","19642","457","null","null","27445","null","925","null","40103","null","1592","null","21394","null","442","null","13178","null","1192","null","17022","null","409","null","22270","null","832","null","30686","null","1752","null","50423","null","4488","null","21085","null","502","null","10864","null","2075","null","13232","null","836","null","17092","null","523","null","26274","null","752","null","35885","null","1636","null",
