state,sex,education,estimate,margin_of_error
Maryland,male,Some_college_or_associates_degree,61134,1543
Maryland,male,Bachelors_degree,90008,2681
Maryland,male,Graduate_or_professional_degree,116827,2669
Maryland,female,Female,53748,943
Maryland,female,Less_than_high_school_graduate,26691,1976
Maryland,female,High_school_graduate_includes_equivalency,33132,1330
Maryland,female,Some_college_or_associates_degree,42177,860
Maryland,female,Bachelors_degree,66173,2036
Maryland,female,Graduate_or_professional_degree,86330,2151
Massachusetts,total,Total,62009,462
Massachusetts,total,Less_than_high_school_graduate,34472,2061
Massachusetts,total,High_school_graduate_includes_equivalency,42196,531
Massachusetts,total,Some_college_or_associates_degree,49021,1132
Massachusetts,total,Bachelors_degree,77137,1049
Massachusetts,total,Graduate_or_professional_degree,95136,1232
Massachusetts,male,Male,71293,944
Massachusetts,male,Less_than_high_school_graduate,39903,1882
Massachusetts,male,High_school_graduate_includes_equivalency,50768,797
Massachusetts,male,Some_college_or_associates_degree,57774,2007
Massachusetts,male,Bachelors_degree,90795,1208
Massachusetts,male,Graduate_or_professional_degree,116421,3308
Massachusetts,female,Female,53409,673
Massachusetts,female,Less_than_high_school_graduate,28465,1973
Massachusetts,female,High_school_graduate_includes_equivalency,33506,1255
Massachusetts,female,Some_college_or_associates_degree,41777,831
Massachusetts,female,Bachelors_degree,64567,1500
Massachusetts,female,Graduate_or_professional_degree,83160,1435
Michigan,total,Total,47259,406
Michigan,total,Less_than_high_school_graduate,30404,670
Michigan,total,High_school_graduate_includes_equivalency,35865,453
Michigan,total,Some_college_or_associates_degree,41762,337
Michigan,total,Bachelors_degree,63077,740
Michigan,total,Graduate_or_professional_degree,78984,1580
Michigan,male,Male,54664,487
Michigan,male,Less_than_high_school_graduate,36227,1855
Michigan,male,High_school_graduate_includes_equivalency,41633,449
Michigan,male,Some_college_or_associates_degree,51679,526
Michigan,male,Bachelors_degree,78167,1845
Michigan,male,Graduate_or_professional_degree,97014,2127
Michigan,female,Female,39439,492
Michigan,female,Less_than_high_school_graduate,22296,1422
Michigan,female,High_school_graduate_includes_equivalency,28232,1039
Michigan,female,Some_college_or_associates_degree,34078,1013
Michigan,female,Bachelors_degree,52364,857
Michigan,female,Graduate_or_professional_degree,69239,1589
Minnesota,total,Total,54047,337
Minnesota,total,Less_than_high_school_graduate,33274,1795
Minnesota,total,High_school_graduate_includes_equivalency,39997,757
Minnesota,total,Some_college_or_associates_degree,49014,708
Minnesota,total,Bachelors_degree,68504,1126
Minnesota,total,Graduate_or_professional_degree,82324,1259
Minnesota,male,Male,61950,422
Minnesota,male,Less_than_high_school_graduate,40519,1854
Minnesota,male,High_school_graduate_includes_equivalency,46641,966
Minnesota,male,Some_college_or_associates_degree,58978,936
Minnesota,male,Bachelors_degree,80711,1329
Minnesota,male,Graduate_or_professional_degree,92432,2518
Minnesota,female,Female,46770,616
Minnesota,female,Less_than_high_school_graduate,26364,1185
Minnesota,female,High_school_graduate_includes_equivalency,31505,548
Minnesota,female,Some_college_or_associates_degree,40620,503
Minnesota,female,Bachelors_degree,59325,1159
Minnesota,female,Graduate_or_professional_degree,76253,1213
Mississippi,total,Total,40342,446
Mississippi,total,Less_than_high_school_graduate,26775,1916
Mississippi,total,High_school_graduate_includes_equivalency,32789,1316
Mississippi,total,Some_college_or_associates_degree,37485,981
Mississippi,total,Bachelors_degree,50731,1381
Mississippi,total,Graduate_or_professional_degree,57266,2090
Mississippi,male,Male,46767,1112
Mississippi,male,Less_than_high_school_graduate,31381,2029
Mississippi,male,High_school_graduate_includes_equivalency,40281,1575
Mississippi,male,Some_college_or_associates_degree,47196,1841
Mississippi,male,Bachelors_degree,64800,5062
Mississippi,male,Graduate_or_professional_degree,70582,4212
Mississippi,female,Female,34345,955
Mississippi,female,Less_than_high_school_graduate,19639,1824
Mississippi,female,High_school_graduate_includes_equivalency,25964,1067
Mississippi,female,Some_college_or_associates_degree,31293,805
Mississippi,female,Bachelors_degree,44097,1628
Mississippi,female,Graduate_or_professional_degree,52805,1691
Missouri,total,Total,45456,476
Missouri,total,Less_than_high_school_graduate,28414,1565
Missouri,total,High_school_graduate_includes_equivalency,35612,519
Missouri,total,Some_college_or_associates_degree,41874,441
Missouri,total,Bachelors_degree,57693,1123
Missouri,total,Graduate_or_professional_degree,70894,1418
Missouri,male,Male,52525,566
Missouri,male,Less_than_high_school_graduate,33801,1967
Missouri,male,High_school_graduate_includes_equivalency,41778,714
Missouri,male,Some_college_or_associates_degree,51198,795
Missouri,male,Bachelors_degree,67624,2040
Missouri,male,Graduate_or_professional_degree,88118,3084
Missouri,female,Female,39323,629
Missouri,female,Less_than_high_school_graduate,21745,1125
Missouri,female,High_school_graduate_includes_equivalency,28651,1155
Missouri,female,Some_college_or_associates_degree,35537,656
Missouri,female,Bachelors_degree,49601,1286
Missouri,female,Graduate_or_professional_degree,62286,1156
Montana,total,Total,43414,1266
Montana,total,Less_than_high_school_graduate,30133,4113
Montana,total,High_school_graduate_includes_equivalency,35674,923
Montana,total,Some_college_or_associates_degree,39948,1161
Montana,total,Bachelors_degree,50894,1378
Montana,total,Graduate_or_professional_degree,68235,2421
Montana,male,Male,51103,1103
Montana,male,Less_than_high_school_graduate,35119,5698
Montana,male,High_school_graduate_includes_equivalency,45143,2740
Montana,male,Some_college_or_associates_degree,48499,3225
Montana,male,Bachelors_degree,61505,2758
Montana,male,Graduate_or_professional_degree,79710,10188
Montana,female,Female,36557,763
Montana,female,Less_than_high_school_graduate,19806,9578
Montana,female,High_school_graduate_includes_equivalency,26354,1302
Montana,female,Some_college_or_associates_degree,32932,1357
Montana,female,Bachelors_degree,44867,2877
Montana,female,Graduate_or_professional_degree,62648,3142
Nebraska,total,Total,49244,870
Nebraska,total,Less_than_high_school_graduate,33308,2022
Nebraska,total,High_school_graduate_includes_equivalency,38758,1570
Nebraska,total,Some_college_or_associates_degree,44111,1179
Nebraska,total,Bachelors_degree,58817,1729
Nebraska,total,Graduate_or_professional_degree,74208,2651
Nebraska,male,Male,55557,1016
Nebraska,male,Less_than_high_school_graduate,37436,3564
Nebraska,male,High_school_graduate_includes_equivalency,44274,1552
Nebraska,male,Some_college_or_associates_degree,55181,1390
Nebraska,male,Bachelors_degree,68552,3154
Nebraska,male,Graduate_or_professional_degree,86911,5993
Nebraska,female,Female,41272,605
Nebraska,female,Less_than_high_school_graduate,24084,2408
Nebraska,female,High_school_graduate_includes_equivalency,31336,1048
Nebraska,female,Some_college_or_associates_degree,35021,1310
Nebraska,female,Bachelors_degree,50596,1030
Nebraska,female,Graduate_or_professional_degree,66270,2007
Nevada,total,Total,44247,729
Nevada,total,Less_than_high_school_graduate,34591,1524
Nevada,total,High_school_graduate_includes_equivalency,37581,1246
Nevada,total,Some_college_or_associates_degree,43743,1130
Nevada,total,Bachelors_degree,59999,2381
Nevada,total,Graduate_or_professional_degree,75253,2169
Nevada,male,Male,49663,1035
Nevada,male,Less_than_high_school_graduate,37212,1287
Nevada,male,High_school_graduate_includes_equivalency,41450,953
Nevada,male,Some_college_or_associates_degree,50926,1377
Nevada,male,Bachelors_degree,68484,3545
Nevada,male,Graduate_or_professional_degree,87252,6825
Nevada,female,Female,40424,593
Nevada,female,Less_than_high_school_graduate,30276,1017
Nevada,female,High_school_graduate_includes_equivalency,32870,1863
Nevada,female,Some_college_or_associates_degree,38570,1873
Nevada,female,Bachelors_degree,51854,1791
Nevada,female,Graduate_or_professional_degree,69550,2791
New_Hampshire,total,Total,55756,1483
New_Hampshire,total,Less_than_high_school_graduate,38365,2874
New_Hampshire,total,High_school_graduate_includes_equivalency,42335,1476
New_Hampshire,total,Some_college_or_associates_degree,48955,2127
New_Hampshire,total,Bachelors_degree,67982,2341
New_Hampshire,total,Graduate_or_professional_degree,84072,2366
New_Hampshire,male,Male,66654,1635
New_Hampshire,male,Less_than_high_school_graduate,41137,2647
New_Hampshire,male,High_school_graduate_includes_equivalency,49876,2878
New_Hampshire,male,Some_college_or_associates_degree,61006,2883
New_Hampshire,male,Bachelors_degree,81559,3283
New_Hampshire,male,Graduate_or_professional_degree,103215,3420
New_Hampshire,female,Female,47833,1434
New_Hampshire,female,Less_than_high_school_graduate,34153,3292
New_Hampshire,female,High_school_graduate_includes_equivalency,35764,1532
New_Hampshire,female,Some_college_or_associates_degree,39050,2644
New_Hampshire,female,Bachelors_degree,55778,2881
New_Hampshire,female,Graduate_or_professional_degree,74417,3379
New_Jersey,total,Total,60145,574
New_Jersey,total,Less_than_high_school_graduate,31962,603
New_Jersey,total,High_school_graduate_includes_equivalency,40193,538
New_Jersey,total,Some_college_or_associates_degree,50489,568
New_Jersey,total,Bachelors_degree,76725,1057
New_Jersey,total,Graduate_or_professional_degree,98247,1908
New_Jersey,male,Male,68827,1002
New_Jersey,male,Less_than_high_school_graduate,36864,1516
New_Jersey,male,High_school_graduate_includes_equivalency,48595,1540
New_Jersey,male,Some_college_or_associates_degree,58845,1456
New_Jersey,male,Bachelors_degree,91151,1704
New_Jersey,male,Graduate_or_professional_degree,121917,2693
New_Jersey,female,Female,51034,499
New_Jersey,female,Less_than_high_school_graduate,25736,1127
New_Jersey,female,High_school_graduate_includes_equivalency,31510,641
New_Jersey,female,Some_college_or_associates_degree,41791,635
New_Jersey,female,Bachelors_degree,64680,1119
New_Jersey,female,Graduate_or_professional_degree,82728,1042
New_Mexico,total,Total,41866,573
New_Mexico,total,Less_than_high_school_graduate,26396,1303
New_Mexico,total,High_school_graduate_includes_equivalency,31961,744
New_Mexico,total,Some_college_or_associates_degree,39701,1458
New_Mexico,total,Bachelors_degree,55322,1829
New_Mexico,total,Graduate_or_professional_degree,73105,2622
New_Mexico,male,Male,46491,1394
New_Mexico,male,Less_than_high_school_graduate,30738,937
New_Mexico,male,High_school_graduate_includes_equivalency,36377,1461
New_Mexico,male,Some_college_or_associates_degree,45698,2086
New_Mexico,male,Bachelors_degree,64587,3272
New_Mexico,male,Graduate_or_professional_degree,90005,6312
New_Mexico,female,Female,37774,1037
New_Mexico,female,Less_than_high_school_graduate,20330,1347
