state,education,degree,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39,age_range,sex
Arkansas,Less_than_high_school_graduate,,30770,1084,AR,55.28,6423.125,18.72,4533.4,0,0,0,0,16,-430780,30770,738480,,total
Arkansas,High_school_graduate_includes_equivalency,,34517,1008,AR,55.28,6423.125,18.72,4533.4,0,0,0,0,18,-552272,34517,759374,,total
Arkansas,Some_college_or_associates_degree,,38814,996,AR,55.28,6423.125,18.72,4533.4,4533.4,9066.8,98.3986057,11807.83268,20,-710459.8327,27006.16732,764472.1673,,total
Arkansas,Bachelors_degree,Combined_25_to_39_years,52604,1616,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-1085539.737,19144.26324,913412.2632,25_to_39_years,
Arkansas,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,57000,5330,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-1173459.737,23540.26324,992540.2632,25_to_39_years,
Arkansas,Bachelors_degree,Business,59681,3489,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-1227079.737,26221.26324,1040798.263,25_to_39_years,
Arkansas,Bachelors_degree,Communications,45923,2843,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-951919.7368,12463.26324,793154.2632,25_to_39_years,
Arkansas,Bachelors_degree,Computers_Mathematics_and_Statistics,93027,29551,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-1893999.737,59567.26324,1641026.263,25_to_39_years,
Arkansas,Bachelors_degree,Education,46818,2582,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-969819.7368,13358.26324,809264.2632,25_to_39_years,
Arkansas,Bachelors_degree,Engineering,72789,17201,AR,55.28,6423.125,18.72,4533.4,6423.125,25692.5,278.8311396,33459.73676,22,-1489239.737,39329.26324,1276742.263,25_to_39_years,
