,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans,total_fed_student_loans,monthly_payment,total_paid,total_cost_of_fed_loan,age_starting_work,y_intercept,high_grad_age_intercept
76,California,total,Bachelors_degree,75688,567,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,36294.470763194025,22.0,-1550054.470763194,0.0
77,California,total,Graduate_or_professional_degree,103600,734,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,26.0,-2486400.0,0.0
78,California,male,Male,59577,555,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,,,0.0
79,California,male,Less_than_high_school_graduate,35074,473,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,16.0,-491036.0,0.0
80,California,male,High_school_graduate_includes_equivalency,42710,490,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,18.0,-683360.0,
81,California,male,Some_college_or_associates_degree,55389,817,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,6725.548387096775,13451.09677419355,145.9797467389443,17517.569608673315,17517.569608673315,20.0,-1014519.5696086733,0.0
82,California,male,Bachelors_degree,86663,669,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,36294.470763194025,22.0,-1769554.470763194,0.0
83,California,male,Graduate_or_professional_degree,124911,1378,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,26.0,-2997864.0,0.0
84,California,female,Female,46176,339,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,,,0.0
85,California,female,Less_than_high_school_graduate,23950,561,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,16.0,-335300.0,0.0
86,California,female,High_school_graduate_includes_equivalency,31970,283,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,18.0,-511520.0,
