State,Education,Major,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS
Connecticut,Some_college_or_associates_degree,,39,49709,978068.9123,,
Connecticut,Bachelors_degree,Combined_25_to_39_years,39,71512,1245976.282,,
Connecticut,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,75037,1309426.282,,
Connecticut,Bachelors_degree,Business,39,80851,1414078.282,,
Connecticut,Bachelors_degree,Communications,39,70716,1231648.282,,
Connecticut,Bachelors_degree,Computers_Mathematics_and_Statistics,39,80949,1415842.282,,
Connecticut,Bachelors_degree,Education,39,63127,1095046.282,,
Connecticut,Bachelors_degree,Engineering,39,94186,1654108.282,,
Connecticut,Bachelors_degree,Liberal_Arts_and_History,39,66632,1158136.282,,
Connecticut,Bachelors_degree,Literature_and_Languages,39,58192,1006216.282,,
Connecticut,Bachelors_degree,Multidisciplinary_Studies,39,71408,1244104.282,,
Connecticut,Bachelors_degree,Other,39,64746,1124188.282,,
Connecticut,Bachelors_degree,Physical_and_Related_Sciences,39,69743,1214134.282,,
Connecticut,Bachelors_degree,Psychology,39,61932,1073536.282,,
Connecticut,Bachelors_degree,Science_and_Engineering_Related_Fields,39,71259,1241422.282,,
Connecticut,Bachelors_degree,Social_Sciences,39,67955,1181950.282,,
Connecticut,Bachelors_degree,Visual_and_Performing_Arts,39,54400,937960.2815,,
Delaware,Less_than_high_school_graduate,,16,34578,34578,,29.19267455
Delaware,High_school_graduate_includes_equivalency,,18,39820,39820,29.19267455,
Delaware,Some_college_or_associates_degree,,20,44530,24794.71341,33.88095725,39.09878696
Delaware,Bachelors_degree,Combined_25_to_39_years,22,65284,30403.82791,27.89253475,27.62488894
Delaware,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,70784,35903.82791,26.69359145,26.27051324
Delaware,Bachelors_degree,Business,22,77211,42330.82791,25.68452073,25.19269803
Delaware,Bachelors_degree,Communications,22,36346,1465.827906,157.074758,-35.88951413
Delaware,Bachelors_degree,Computers_Mathematics_and_Statistics,22,45437,10556.82791,42.31772466,54.56652521
Delaware,Bachelors_degree,Education,22,60253,25372.82791,29.43907194,29.50228415
Delaware,Bachelors_degree,Engineering,22,87564,52683.82791,24.5738152,24.06669261
Delaware,Bachelors_degree,Liberal_Arts_and_History,22,75703,40822.82791,25.89296467,25.41092362
Delaware,Bachelors_degree,Literature_and_Languages,22,55543,20662.82791,31.55965524,32.34879934
Delaware,Bachelors_degree,Multidisciplinary_Studies,22,59192,24311.82791,29.84594833,30.02272208
Delaware,Bachelors_degree,Other,22,58868,23987.82791,29.97728168,30.19320517
Delaware,Bachelors_degree,Physical_and_Related_Sciences,22,70041,35160.82791,26.83383166,26.42467728
Delaware,Bachelors_degree,Psychology,22,66239,31358.82791,27.65446992,27.34926273
Delaware,Bachelors_degree,Science_and_Engineering_Related_Fields,22,75410,40529.82791,25.93525108,25.45546985
Delaware,Bachelors_degree,Social_Sciences,22,53167,18286.82791,33.03718178,34.54710213
Delaware,Bachelors_degree,Visual_and_Performing_Arts,22,40318,5437.827906,62.2209359,409.8798636
Delaware,Less_than_high_school_graduate,,39,34578,829872,,
Delaware,High_school_graduate_includes_equivalency,,39,39820,876040,,
Delaware,Some_college_or_associates_degree,,39,44530,870864.7134,,
Delaware,Bachelors_degree,Combined_25_to_39_years,39,65284,1140231.828,,
Delaware,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,70784,1239231.828,,
Delaware,Bachelors_degree,Business,39,77211,1354917.828,,
Delaware,Bachelors_degree,Communications,39,36346,619347.8279,,
Delaware,Bachelors_degree,Computers_Mathematics_and_Statistics,39,45437,782985.8279,,
Delaware,Bachelors_degree,Education,39,60253,1049673.828,,
Delaware,Bachelors_degree,Engineering,39,87564,1541271.828,,
Delaware,Bachelors_degree,Liberal_Arts_and_History,39,75703,1327773.828,,
Delaware,Bachelors_degree,Literature_and_Languages,39,55543,964893.8279,,
Delaware,Bachelors_degree,Multidisciplinary_Studies,39,59192,1030575.828,,
Delaware,Bachelors_degree,Other,39,58868,1024743.828,,
Delaware,Bachelors_degree,Physical_and_Related_Sciences,39,70041,1225857.828,,
Delaware,Bachelors_degree,Psychology,39,66239,1157421.828,,
Delaware,Bachelors_degree,Science_and_Engineering_Related_Fields,39,75410,1322499.828,,
Delaware,Bachelors_degree,Social_Sciences,39,53167,922125.8279,,
Delaware,Bachelors_degree,Visual_and_Performing_Arts,39,40318,690843.8279,,
District_of_Columbia,Less_than_high_school_graduate,,16,26970,26970,,20.63840399
District_of_Columbia,High_school_graduate_includes_equivalency,,18,38599,38599,20.63840399,
District_of_Columbia,Some_college_or_associates_degree,,20,48566,31107.16061,23.80379882,27.49702412
District_of_Columbia,Bachelors_degree,Combined_25_to_39_years,22,89341,54840.06213,23.14763172,23.72269398
