,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,2-3_year_pct_students_loans_avg,<2_year_pct_students_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,age_39,y_intercept,gross_at_starting_age,gross_at_39,age_of_profitability_high_school,gross_salary_at_proftability_high_school,age_of_profitability_less_than_high_school,gross_salary_at_proftability_less_than_high_school
217,Idaho,total,Less_than_high_school_graduate,35192,2579,ID,49.27272727,56.375,78.64285714,0,0,0,0,16,39,-492688,35192,844608,47.79042457,1189152.621,#DIV/0!,#DIV/0!
218,Idaho,total,High_school_graduate_includes_equivalency,37406,1078,ID,49.27272727,56.375,78.64285714,0,0,0,0,18,39,-598496,37406,822932,#DIV/0!,#DIV/0!,47.79042457,1189152.621
219,Idaho,total,Some_college_or_associates_degree,40546,696,ID,49.27272727,56.375,78.64285714,6051.25,12102.5,131.3439279,15761.27135,20,39,-745589.2713,24784.72865,795158.7287,46.84499088,1153787.729,47.23594908,1169639.52
220,Idaho,total,Bachelors_degree,54796,2048,ID,49.27272727,56.375,78.64285714,6238.636364,24954.54545,270.8223936,32498.68724,22,39,-1128418.687,22297.31276,953829.3128,30.47283998,541371.0523,32.42862106,648540.0323
221,Idaho,total,Graduate_or_professional_degree,72869,3340,ID,49.27272727,56.375,78.64285714,0,0,0,0,26,39,-1748856,72869,1020166,32.43831599,614891.648,33.34044643,680628.9906
234,Illinois,total,Total,51922,298,IL,58.70588235,19.6779661,68.91428571,0,0,0,0,,,,51922,,,,,
235,Illinois,total,Less_than_high_school_graduate,31826,508,IL,58.70588235,19.6779661,68.91428571,0,0,0,0,16,39,-445564,31826,763824,25.17175793,355552.3677,#DIV/0!,#DIV/0!
236,Illinois,total,High_school_graduate_includes_equivalency,38766,778,IL,58.70588235,19.6779661,68.91428571,0,0,0,0,18,39,-620256,38766,852852,#DIV/0!,#DIV/0!,25.17175793,355552.3677
237,Illinois,total,Some_college_or_associates_degree,44169,589,IL,58.70588235,19.6779661,68.91428571,5023.929825,10047.85965,109.0456809,13085.48171,20,39,-808127.4817,31083.51829,870294.5183,34.77169752,727703.6261,29.37401618,489293.4389
238,Illinois,total,Bachelors_degree,68489,1145,IL,58.70588235,19.6779661,68.91428571,6720.409091,26881.63636,291.736394,35008.36728,22,39,-1404788.367,33480.63272,1197793.633,26.39479081,402964.4606,26.16328089,387108.5776
239,Illinois,total,Graduate_or_professional_degree,84140,1200,IL,58.70588235,19.6779661,68.91428571,0,0,0,0,26,39,-2019360,84140,1177960,30.83492749,575090.7991,30.08364874,511878.2047
252,Indiana,total,Total,46623,410,IN,54.49056604,69,76.36666667,0,0,0,0,,,,46623,,,,,
253,Indiana,total,Less_than_high_school_graduate,32019,746,IN,54.49056604,69,76.36666667,0,0,0,0,16,39,-448266,32019,768456,25.80073462,377847.7218,#DIV/0!,#DIV/0!
