,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
236,Illinois,total,High_school_graduate_includes_equivalency,38766,778,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,0,0,0,0,18,-620256,38766,852852
237,Illinois,total,Some_college_or_associates_degree,44169,589,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,5023.929824561404,10047.859649122807,109.04568091885913,13085.481710263097,20,-808127.4817,31083.51829,870294.5182897369
238,Illinois,total,Bachelors_degree,68489,1145,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,6720.409090909091,26881.636363636364,291.73639400325425,35008.36728039051,22,-1404788.367,33480.63271960949,1197793.6327196094
239,Illinois,total,Graduate_or_professional_degree,84140,1200,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,0,0,0,0,26,-2019360,84140,1177960
252,Indiana,total,Total,46623,410,IN,54.490566037735846,6719.843137254902,69,7986,76.36666666666666,7883.413793103448,0,0,0,0,,,46623,
253,Indiana,total,Less_than_high_school_graduate,32019,746,IN,54.490566037735846,6719.843137254902,69,7986,76.36666666666666,7883.413793103448,0,0,0,0,16,-448266,32019,768456
254,Indiana,total,High_school_graduate_includes_equivalency,38553,630,IN,54.490566037735846,6719.843137254902,69,7986,76.36666666666666,7883.413793103448,0,0,0,0,18,-616848,38553,848166
255,Indiana,total,Some_college_or_associates_degree,44403,656,IN,54.490566037735846,6719.843137254902,69,7986,76.36666666666666,7883.413793103448,7986,15972,173.33817115847842,20800.58053901741,20,-820054.5805,23602.41946098259,867259.4194609825
256,Indiana,total,Bachelors_degree,58609,1231,IN,54.490566037735846,6719.843137254902,69,7986,76.36666666666666,7883.413793103448,6719.843137254902,26879.37254901961,291.7118256658194,35005.419079898325,22,-1207185.419,23603.580920101675,1019956.5809201017
257,Indiana,total,Graduate_or_professional_degree,73559,2217,IN,54.490566037735846,6719.843137254902,69,7986,76.36666666666666,7883.413793103448,0,0,0,0,26,-1765416,73559,1029826
270,Iowa,total,Total,48569,620,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88,5196,0,0,0,0,,,48569,
271,Iowa,total,Less_than_high_school_graduate,32968,2066,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88,5196,0,0,0,0,16,-461552,32968,791232
272,Iowa,total,High_school_graduate_includes_equivalency,39439,863,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88,5196,0,0,0,0,18,-631024,39439,867658
273,Iowa,total,Some_college_or_associates_degree,45837,899,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88,5196,6033.114285714286,12066.228571428572,130.95028758775408,15714.03451053049,20,-840780.0345,30122.965489469512,901025.9654894695
274,Iowa,total,Bachelors_degree,58561,1365,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88,5196,7812.363636363636,31249.454545454544,339.138699,40696.643881360564,22,-1211916.644,17864.356118639436,1013401.3561186395
275,Iowa,total,Graduate_or_professional_degree,73926,1640,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88,5196,0,0,0,0,26,-1774224,73926,1034964
288,Kansas,total,Total,47295,608,KS,66.32258065,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,0,0,0,0,,,47295,
289,Kansas,total,Less_than_high_school_graduate,32838,1788,KS,66.32258065,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,0,0,0,0,16,-459732,32838,788112
290,Kansas,total,High_school_graduate_includes_equivalency,36659,834,KS,66.32258065,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,0,0,0,0,18,-586544,36659,806498
291,Kansas,total,Some_college_or_associates_degree,42026,612,KS,66.32258065,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,5274.517241379311,10549.034482758621,114.48474484905489,13738.169381886586,20,-770206.1694,28287.830618113414,826781.8306181134
292,Kansas,total,Bachelors_degree,58583,1296,KS,66.32258065,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,6435.333333333333,25741.333333333332,279.36110964066984,33523.333156880384,22,-1205183.333,25059.666843119616,1020970.6668431197
293,Kansas,total,Graduate_or_professional_degree,70216,2564,KS,66.32258065,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,0,0,0,0,26,-1685184,70216,983024
306,Kentucky,total,Total,43032,581,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,0,0,0,0,,,43032,
307,Kentucky,total,Less_than_high_school_graduate,27314,1182,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,0,0,0,0,16,-382396,27314,655536
308,Kentucky,total,High_school_graduate_includes_equivalency,35301,680,KY,57.588235294117645,6866.8125,29.681818181818183,5273.761904761905,66.27272727272727,8381.9,0,0,0,0,18,-564816,35301,776622
